SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
5577,0,75,24,0,10,0,3750,10,6
5578,0,75,24,0,10,0,5625,10,6
5579,0,75,24,0,10,0,7500,10,6
5580,0,75,24,0,20,0,-7500,10,6
5581,0,75,24,0,20,0,-5625,10,6
5582,0,75,24,0,20,0,3750,10,6
5583,0,75,24,0,20,0,5625,10,6
5584,0,75,24,0,20,0,7500,10,6
5585,0,75,24,0,30,0,-7500,10,6
5586,0,75,24,0,30,0,-5625,10,6
5587,0,75,24,0,30,0,3750,10,6
5588,0,75,24,0,30,0,5625,10,6
5589,0,75,24,0,30,0,7500,10,6
5590,0,90,24,0,-30,0,-7500,10,6
5591,0,90,24,0,-30,0,-5625,10,6
5592,0,90,24,0,-30,0,3750,10,6
5593,0,90,24,0,-30,0,5625,10,6
5594,0,90,24,0,-30,0,7500,10,6
5595,0,90,24,0,-20,0,-7500,10,6
5596,0,90,24,0,-20,0,-5625,10,6
5597,0,90,24,0,-20,0,3750,10,6
5598,0,90,24,0,-20,0,5625,10,6
5599,0,90,24,0,-20,0,7500,10,6
5600,0,90,24,0,-10,0,-7500,10,6
5601,0,90,24,0,-10,0,-5625,10,6
5602,0,90,24,0,-10,0,3750,10,6
5603,0,90,24,0,-10,0,5625,10,6
5604,0,90,24,0,-10,0,7500,10,6
5605,0,90,24,0,0,0,-7500,10,6
5606,0,90,24,0,0,0,-5625,10,6
5607,0,90,24,0,0,0,3750,10,6
5608,0,90,24,0,0,0,5625,10,6
5609,0,90,24,0,0,0,7500,10,6
5610,0,90,24,0,10,0,-7500,10,6
5611,0,90,24,0,10,0,-5625,10,6
5612,0,90,24,0,10,0,3750,10,6
5613,0,90,24,0,10,0,5625,10,6
5614,0,90,24,0,10,0,7500,10,6
5615,0,90,24,0,20,0,-7500,10,6
5616,0,90,24,0,20,0,-5625,10,6
5617,0,90,24,0,20,0,3750,10,6
5618,0,90,24,0,20,0,5625,10,6
5619,0,90,24,0,20,0,7500,10,6
5620,0,90,24,0,30,0,-7500,10,6
5621,0,90,24,0,30,0,-5625,10,6
5622,0,-90,0,0,0,0,0,10,6
5623,0,-75,0,0,0,0,0,10,6
5624,0,-60,0,0,0,0,0,10,6
5625,0,-45,0,0,0,0,0,10,6
5626,0,-30,0,0,0,0,0,10,6
5627,0,-15,0,0,0,0,0,10,6
5628,0,0,0,0,0,0,0,10,6
5629,0,15,0,0,0,0,0,10,6
5630,0,30,0,0,0,0,0,10,6
5631,0,45,0,0,0,0,0,10,6
5632,0,60,0,0,0,0,0,10,6
5633,0,75,0,0,0,0,0,10,6
5634,0,90,0,0,0,0,0,10,6
5635,0,90,24,0,30,0,3750,10,6
5636,0,90,24,0,30,0,5625,10,6
5637,0,90,24,0,30,0,7500,10,6
5638,15,-60,24,0,-30,0,-7500,10,6
5639,15,-60,24,0,-30,0,-5625,10,6
5640,15,-60,24,0,-30,0,3750,10,6
5641,15,-60,24,0,-30,0,5625,10,6
5642,15,-60,24,0,-30,0,7500,10,6
5643,15,-60,24,0,-20,0,-7500,10,6
5644,15,-60,24,0,-20,0,-5625,10,6
5645,15,-60,24,0,-20,0,3750,10,6
5646,15,-60,24,0,-20,0,5625,10,6
5647,15,-60,24,0,-20,0,7500,10,6
5648,15,-60,24,0,-10,0,-7500,10,6
5649,15,-60,24,0,-10,0,-5625,10,6
5650,15,-60,24,0,-10,0,3750,10,6
5651,15,-60,24,0,-10,0,5625,10,6
5652,15,-60,24,0,-10,0,7500,10,6
5653,15,-60,24,0,0,0,-7500,10,6
5654,15,-60,24,0,0,0,-5625,10,6
