SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
3903,0,30,24,0,0,-11250,5625,10,6
3904,0,30,24,0,0,-11250,7500,10,6
3905,0,30,24,0,0,7500,-7500,10,6
3906,0,30,24,0,0,7500,-5625,10,6
3907,0,30,24,0,0,7500,3750,10,6
3908,0,30,24,0,0,7500,5625,10,6
3909,0,30,24,0,0,7500,7500,10,6
3910,0,30,24,0,0,11250,-7500,10,6
3911,0,30,24,0,0,11250,-5625,10,6
3912,0,30,24,0,0,11250,3750,10,6
3913,0,30,24,0,0,11250,5625,10,6
3914,0,30,24,0,0,11250,7500,10,6
3915,0,30,24,0,0,15000,-7500,10,6
3916,0,30,24,0,0,15000,-5625,10,6
3917,0,30,24,0,0,15000,3750,10,6
3918,0,30,24,0,0,15000,5625,10,6
3919,0,30,24,0,0,15000,7500,10,6
3920,0,45,24,0,0,-15000,-7500,10,6
3921,0,45,24,0,0,-15000,-5625,10,6
3922,0,45,24,0,0,-15000,3750,10,6
3923,0,45,24,0,0,-15000,5625,10,6
3924,0,45,24,0,0,-15000,7500,10,6
3925,0,45,24,0,0,-11250,-7500,10,6
3926,0,45,24,0,0,-11250,-5625,10,6
3927,0,45,24,0,0,-11250,3750,10,6
3928,0,45,24,0,0,-11250,5625,10,6
3929,0,45,24,0,0,-11250,7500,10,6
3930,0,45,24,0,0,7500,-7500,10,6
3931,0,45,24,0,0,7500,-5625,10,6
3932,0,45,24,0,0,7500,3750,10,6
3933,0,45,24,0,0,7500,5625,10,6
3934,0,45,24,0,0,7500,7500,10,6
3935,0,45,24,0,0,11250,-7500,10,6
3936,0,45,24,0,0,11250,-5625,10,6
3937,0,45,24,0,0,11250,3750,10,6
3938,0,45,24,0,0,11250,5625,10,6
3939,0,45,24,0,0,11250,7500,10,6
3940,0,45,24,0,0,15000,-7500,10,6
3941,0,45,24,0,0,15000,-5625,10,6
3942,0,45,24,0,0,15000,3750,10,6
3943,0,45,24,0,0,15000,5625,10,6
3944,0,45,24,0,0,15000,7500,10,6
3945,0,60,24,0,0,-15000,-7500,10,6
3946,0,60,24,0,0,-15000,-5625,10,6
3947,0,60,24,0,0,-15000,3750,10,6
3948,0,60,24,0,0,-15000,5625,10,6
3949,0,60,24,0,0,-15000,7500,10,6
3950,0,60,24,0,0,-11250,-7500,10,6
3951,0,60,24,0,0,-11250,-5625,10,6
3952,0,60,24,0,0,-11250,3750,10,6
3953,0,60,24,0,0,-11250,5625,10,6
3954,0,60,24,0,0,-11250,7500,10,6
3955,0,60,24,0,0,7500,-7500,10,6
3956,0,60,24,0,0,7500,-5625,10,6
3957,0,60,24,0,0,7500,3750,10,6
3958,0,60,24,0,0,7500,5625,10,6
3959,0,60,24,0,0,7500,7500,10,6
3960,0,60,24,0,0,11250,-7500,10,6
3961,0,60,24,0,0,11250,-5625,10,6
3962,0,60,24,0,0,11250,3750,10,6
3963,0,60,24,0,0,11250,5625,10,6
3964,0,60,24,0,0,11250,7500,10,6
3965,0,60,24,0,0,15000,-7500,10,6
3966,0,60,24,0,0,15000,-5625,10,6
3967,0,60,24,0,0,15000,3750,10,6
3968,0,60,24,0,0,15000,5625,10,6
3969,0,60,24,0,0,15000,7500,10,6
3970,0,75,24,0,0,-15000,-7500,10,6
3971,0,75,24,0,0,-15000,-5625,10,6
3972,0,75,24,0,0,-15000,3750,10,6
3973,0,75,24,0,0,-15000,5625,10,6
3974,0,75,24,0,0,-15000,7500,10,6
3975,0,75,24,0,0,-11250,-7500,10,6
3976,0,75,24,0,0,-11250,-5625,10,6
3977,0,75,24,0,0,-11250,3750,10,6
3978,0,75,24,0,0,-11250,5625,10,6
3979,0,75,24,0,0,-11250,7500,10,6
3980,0,75,24,0,0,7500,-7500,10,6
3981,0,75,24,0,0,7500,-5625,10,6
3982,0,75,24,0,0,7500,3750,10,6
3983,0,75,24,0,0,7500,5625,10,6
3984,0,75,24,0,0,7500,7500,10,6
3985,0,75,24,0,0,11250,-7500,10,6
3986,0,75,24,0,0,11250,-5625,10,6
3987,0,75,24,0,0,11250,3750,10,6
3988,0,75,24,0,0,11250,5625,10,6
3989,0,75,24,0,0,11250,7500,10,6
3990,0,75,24,0,0,15000,-7500,10,6
3991,0,75,24,0,0,15000,-5625,10,6
3992,0,75,24,0,0,15000,3750,10,6
3993,0,75,24,0,0,15000,5625,10,6
3994,0,75,24,0,0,15000,7500,10,6
3995,0,90,24,0,0,-15000,-7500,10,6
3996,0,90,24,0,0,-15000,-5625,10,6
3997,0,90,24,0,0,-15000,3750,10,6
3998,0,90,24,0,0,-15000,5625,10,6
3999,0,90,24,0,0,-15000,7500,10,6
4000,0,90,24,0,0,-11250,-7500,10,6
4001,0,90,24,0,0,-11250,-5625,10,6
4002,0,90,24,0,0,-11250,3750,10,6
4003,0,90,24,0,0,-11250,5625,10,6
4004,0,90,24,0,0,-11250,7500,10,6
4005,0,90,24,0,0,7500,-7500,10,6
4006,0,90,24,0,0,7500,-5625,10,6
4007,0,90,24,0,0,7500,3750,10,6
4008,0,90,24,0,0,7500,5625,10,6
4009,0,90,24,0,0,7500,7500,10,6
4010,0,90,24,0,0,11250,-7500,10,6
4011,0,90,24,0,0,11250,-5625,10,6
4012,0,90,24,0,0,11250,3750,10,6
4013,0,90,24,0,0,11250,5625,10,6
4014,0,90,24,0,0,11250,7500,10,6
4015,0,90,24,0,0,15000,-7500,10,6
4016,0,90,24,0,0,15000,-5625,10,6
4017,0,90,24,0,0,15000,3750,10,6
4018,0,90,24,0,0,15000,5625,10,6
4019,0,90,24,0,0,15000,7500,10,6
4020,15,-60,24,0,0,-15000,-7500,10,6
4021,15,-60,24,0,0,-15000,-5625,10,6
4022,15,-60,24,0,0,-15000,3750,10,6
4023,15,-60,24,0,0,-15000,5625,10,6
4024,15,-60,24,0,0,-15000,7500,10,6
4025,15,-60,24,0,0,-11250,-7500,10,6
4026,15,-60,24,0,0,-11250,-5625,10,6
4027,15,-60,24,0,0,-11250,3750,10,6
4028,15,-60,24,0,0,-11250,5625,10,6
4029,15,-60,24,0,0,-11250,7500,10,6
